"","Date","Total","Public Housing","Private assisted","Private unassisted","Prefabs","Housing associations","Demolitions","Adjustments","Housing Stock Estimate","Private Build Rate","Public Build Rate","Total Build Rate","Estimated Change in Housing Stock","Rate of Stock Growth","Rate of Stock Growth Two Year Rolling Average"
"1",1856-01-01,47,0,0,47,0,0,NA,NA,3691,1.27336765104308,0,1.27336765104308,NA,NA,NA
"2",1857-01-01,42,0,0,42,0,0,NA,NA,3733,1.1251004553978,0,1.1251004553978,42,1.1251004553978,1.17117684849805
"3",1858-01-01,46,0,0,46,0,0,NA,NA,3779,1.21725324159831,0,1.21725324159831,46,1.21725324159831,1.24864751944074
"4",1859-01-01,49,0,0,49,0,0,NA,NA,3828,1.28004179728318,0,1.28004179728318,49,1.28004179728318,1.2367317810554
"5",1860-01-01,47,0,0,47,0,0,NA,-0.764024649383765,3874.23597535062,1.21314241824794,0,1.21314241824794,46.2359753506162,1.19342176482763,1.23080905582594
"6",1861-01-01,49,0,0,49,0,0,NA,-10.6794871794872,3924,1.24872579001019,0,1.24872579001019,49.7640246493838,1.26819634682426,1.08213136200319
"7",1862-01-01,60,0,0,60,0,0,NA,-13.0769230769231,3959.47956509421,1.51535066701556,0,1.51535066701556,35.479565094206,0.89606637718212,1.08181582127872
"8",1863-01-01,65,0,0,65,0,0,NA,-14.1666666666667,4010.31289842754,1.62082115900449,0,1.62082115900449,50.8333333333335,1.26756526537531,1.29763468425879
"9",1864-01-01,69,0,0,69,0,0,NA,-15.0384615384615,4064.27443688908,1.69772000073929,0,1.69772000073929,53.9615384615381,1.32770410314226,1.2439270185054
"10",1865-01-01,61,0,0,61,0,0,NA,-13.2948717948718,4111.97956509421,1.48347040724174,0,1.48347040724174,47.7051282051284,1.16014993386854,1.18135933854831
"11",1866-01-01,64,0,0,64,0,0,NA,-13.9487179487179,4162.03084714549,1.53771085199655,0,1.53771085199655,50.0512820512822,1.20256874322807,1.26869989292722
"12",1867-01-01,72,0,0,72,0,0,NA,-15.6923076923077,4218.33853945318,1.70683313647305,0,1.70683313647305,56.3076923076924,1.33483104262636,1.39815045966511
"13",1868-01-01,80,0,0,80,0,0,NA,-17.4358974358974,4280.90264201728,1.86876476037544,0,1.86876476037544,62.5641025641025,1.46146987670387,1.52182566264286
"14",1869-01-01,88,0,0,88,0,0,NA,-19.1794871794872,4349.7231548378,2.02311726212106,0,2.02311726212106,68.8205128205127,1.58218144858185,1.62207533513336
"15",1870-01-01,94,0,0,94,0,0,NA,-20.4871794871795,4423.23597535062,2.12514097199051,0,2.12514097199051,73.5128205128203,1.66196922168488,1.90138311360111
"16",1871-01-01,96,0,0,96,0,0,NA,-37.9341421143847,4520,2.12389380530973,0,2.12389380530973,96.7640246493838,2.14079700551734,1.33012263454349
"17",1872-01-01,103,0,0,103,0,0,NA,-40.7001733102253,4543.60165992601,2.26692407717972,0,2.26692407717972,23.6016599260065,0.51944826356963,0.877664289384639
"18",1873-01-01,94,0,0,94,0,0,NA,-37.1438474870017,4600.457812439,2.04327490507221,0,2.04327490507221,56.8561525129981,1.23588031519965,1.31797384418803
"19",1874-01-01,108,0,0,108,0,0,NA,-42.6759098786828,4665.78190256032,2.31472456826016,0,2.31472456826016,65.3240901213167,1.40006737317641,1.56002521875602
"20",1875-01-01,135,0,0,135,0,0,NA,-53.3448873483536,4747.43701521197,2.84363962212508,0,2.84363962212508,81.655112651647,1.71998306433563,1.82214101002443
"21",1876-01-01,154,0,0,154,0,0,NA,-60.8526863084922,4840.58432890348,3.18143409010468,0,3.18143409010468,93.1473136915074,1.92429895571322,1.85194772094589
"22",1877-01-01,145,0,0,145,0,0,NA,-57.2963604852686,4928.28796841821,2.94219820207745,0,2.94219820207745,87.7036395147315,1.77959648617857,1.63932243193908
"23",1878-01-01,124,0,0,124,0,0,NA,-48.998266897747,5003.28970152046,2.47836938089588,0,2.47836938089588,75.0017331022527,1.49904837769958,1.34675914683453
"24",1879-01-01,100,0,0,100,0,0,NA,-39.5147313691508,5063.77497015131,1.97481129373748,0,1.97481129373748,60.4852686308495,1.19446991596947,1.15824215894049
"25",1880-01-01,95,0,0,95,0,0,NA,-37.5389948006932,5121.23597535062,1.85502094528062,0,1.85502094528062,57.4610051993068,1.1220144019115,1.48822092891075
"26",1881-01-01,96,0,0,96,0,0,NA,-27.6013745704467,5218,1.83978535837486,0,1.83978535837486,96.7640246493838,1.85442745591,1.27425912229985
"27",1882-01-01,91,0,0,91,0,0,NA,-26.163802978236,5254.47079780193,1.7318585163337,0,1.7318585163337,36.4707978019333,0.694090788689697,0.969715064664354
"28",1883-01-01,93,0,0,93,0,0,NA,-26.7388316151203,5320.73196618681,1.7478798141123,0,1.7478798141123,66.26116838488,1.24533934063901,1.23768037044126
"29",1884-01-01,93,0,0,93,0,0,NA,-26.7388316151203,5386.99313457169,1.72638051834819,0,1.72638051834819,66.26116838488,1.2300214002435,1.17086823077643
"30",1885-01-01,85,0,0,85,0,0,NA,-24.438717067583,5447.55441750411,1.56033319698244,0,1.56033319698244,60.5612829324164,1.11171506130936,1.08640653852501
"31",1886-01-01,82,0,0,82,0,0,NA,-23.5761741122566,5505.97824339185,1.48929030183536,0,1.48929030183536,58.423825887744,1.06109801574067,1.08085433338674
"32",1887-01-01,86,0,0,86,0,0,NA,-24.7262313860252,5567.25201200583,1.54474774654606,0,1.54474774654606,61.2737686139744,1.10061065103281,1.08209602271172
"33",1888-01-01,84,0,0,84,0,0,NA,-24.1512027491409,5627.10080925669,1.49277581559972,0,1.49277581559972,59.8487972508592,1.06358139439064,1.05798489084858
"34",1889-01-01,84,0,0,84,0,0,NA,-24.1512027491409,5686.94960650755,1.47706601626783,0,1.47706601626783,59.8487972508592,1.05238838730652,1.01621731898404
"35",1890-01-01,79,0,0,79,0,0,NA,-22.7136311569301,5743.23597535062,1.37553115245586,0,1.37553115245586,56.2863688430698,0.980046250661564,1.18339558969706
"36",1891-01-01,80,0,0,80,0,0,NA,-24.480135249366,5824,1.37362637362637,0,1.37362637362637,80.7640246493838,1.38674492873255,0.981415835893525
"37",1892-01-01,85,0,0,85,0,0,NA,-26.0101437024514,5857.7456963988,1.45107016257561,0,1.45107016257561,33.7456963987988,0.576086743054497,0.850329681634062
"38",1893-01-01,96,0,0,96,0,0,NA,-29.3761622992392,5924.36953409956,1.62042559039307,0,1.62042559039307,66.6238377007612,1.12457262021363,1.12404656103351
"39",1894-01-01,97,0,0,97,0,0,NA,-29.6821639898563,5991.6873701097,1.61890956600801,0,1.61890956600801,67.3178360101429,1.12352050185339,1.13426340618813
"40",1895-01-01,100,0,0,100,0,0,NA,-30.6001690617075,6061.087201048,1.64986901991295,0,1.64986901991295,69.3998309382932,1.14500631052286,1.23905109956055
"41",1896-01-01,118,0,0,118,0,0,NA,-36.1081994928149,6142.97900155518,1.92089212693266,0,1.92089212693266,81.8918005071846,1.33309588859823,1.41766825525314
"42",1897-01-01,135,0,0,135,0,0,NA,-41.3102282333052,6236.66877332188,2.1646171202402,0,2.1646171202402,93.6897717666952,1.50224062190804,1.63650397247119
"43",1898-01-01,162,0,0,162,0,0,NA,-49.5722738799662,6349.09649944191,2.55154414512742,0,2.55154414512742,112.427726120034,1.77076732303433,1.75536203036137
"44",1899-01-01,162,0,0,162,0,0,NA,-49.5722738799662,6461.52422556194,2.50714838085918,0,2.50714838085918,112.427726120033,1.7399567376884,1.65233712448892
"45",1900-01-01,148,0,0,148,0,0,NA,-45.2882502113271,6564.23597535062,2.25464167582877,0,2.25464167582877,102.711749788673,1.56471751128945,1.8685288349993
"46",1901-01-01,145,0,0,145,0,0,NA,-40.3288431061807,6710,2.16095380029806,0,2.16095380029806,145.764024649384,2.17234015870915,1.59240338537936
"47",1902-01-01,152,0,0,152,0,0,NA,-42.2757527733756,6778.63137947106,2.24234054768531,0,2.24234054768531,68.6313794710604,1.01246661204958,1.31814472406842
"48",1903-01-01,155,0,0,155,0,0,NA,-43.1101426307449,6890.52123684032,2.2494669803975,0,2.2494669803975,111.889857369255,1.62382283608725,1.53465050322198
"49",1904-01-01,140,0,0,140,0,0,NA,-38.9381933438986,6991.58304349642,2.00240773983552,0,2.00240773983552,101.061806656101,1.4454781703567,1.44019583539677
"50",1905-01-01,141,0,0,141,0,0,NA,-39.216323296355,7093.36672020006,1.98777259884885,0,1.98777259884885,101.783676703645,1.43491350043685,1.34054876390945
"51",1906-01-01,124,0,0,124,0,0,NA,-34.4881141045959,7182.87860609547,1.7263273793152,0,1.7263273793152,89.5118858954038,1.24618402738205,1.19435729318903
"52",1907-01-01,115,0,0,115,0,0,NA,-31.9849445324881,7265.89366156298,1.58273717393302,0,1.58273717393302,83.015055467512,1.14253055899602,1.06800077851592
"53",1908-01-01,101,0,0,101,0,0,NA,-28.0911251980983,7338.80253636488,1.3762463221967,0,1.3762463221967,72.9088748019021,0.993470998035819,0.98376226078727
"54",1909-01-01,100,0,0,100,0,0,NA,-27.8129952456418,7410.98954111924,1.34934747168591,0,1.34934747168591,72.187004754358,0.974053523538721,0.91675523083194
"55",1910-01-01,89,0,0,89,0,0,NA,-24.7535657686212,7475.23597535062,1.19059786598677,0,1.19059786598677,64.2464342313788,0.859456938125159,0.931410528719471
"56",1911-01-01,75,0,0,75,0,0,NA,6.49811648797442,7551,0.993245927691697,0,0.993245927691697,75.7640246493838,1.00336411931378,0.97406199496524
"57",1912-01-01,61,0,0,61,0,0,NA,5.28513474355253,7623.01922658214,0.800207872850269,0,0.800207872850269,72.0192265821433,0.944759870616696,0.854317918687259
"58",1913-01-01,54,0,0,54,0,0,NA,4.67864387134158,7681.69787045348,0.702969589674999,0,0.702969589674999,58.6786438713416,0.763875966757822,0.719148749052342
"59",1914-01-01,48,0,0,48,0,0,NA,4.15879455230363,7733.85666500579,0.620647654580809,0,0.620647654580809,52.1587945523033,0.674421531346861,0.554048252676861
"60",1915-01-01,31,0,0,31,0,0,NA,2.68588814836276,7767.54255315415,0.399096622746043,0,0.399096622746043,33.6858881483631,0.433674974006861,0.335466241980168
"61",1916-01-01,17,0,0,17,0,0,NA,1.47290640394087,7786.01545955809,0.218340177826527,0,0.218340177826527,18.4729064039402,0.237257509953476,0.122815301638404
"62",1919-01-01,0.6,0.6,0,0,0,0,NA,0.0519849319037954,7786.66744449,0,0.00770547868234147,0.00770547868234147,0.651984931904735,0.00837309332333299,0.409069476679453
"63",1920-01-01,58.5,15.6,12.9,30,0,0,NA,5.06853086062005,7850.23597535062,0.546480387783298,0.198720141012108,0.745200528795406,63.5685308606198,0.809765860035572,1.21177617885463
"64",1921-01-01,128,80.8,20.3,26.9,0,0,15,-22.0055279159756,7979,0.591552826168693,1.0126582278481,1.60421105401679,128.764024649384,1.61378649767369,1.13733519788061
"65",1922-01-01,91.6,57.5,10.3,23.8,0,0,NA,-15.7477059148701,8032.08274151977,0.424547419360222,0.715879079566358,1.14042649892658,53.0827415197709,0.660883898087522,0.770874939390676
"66",1923-01-01,86.2,14.4,4.3,67.5,0,0,NA,-14.8193477059149,8103.46339381385,0.886040900176235,0.177701796135624,1.06374269631186,71.380652294084,0.880865980693831,1.13026368330249
"67",1924-01-01,136.9,20.3,47,69.2,0,0,NA,-23.5355997788833,8216.82779403497,1.41417105131929,0.247053978844936,1.66122503016423,113.364400221116,1.37966138591115,1.5485760360548
